PERSONAL_DETAILS,DETAILS,ADDRESS,PHONE,EMAIL,PLACE OF BIRTH,LINKS,HOBBIES,LANGUAGES,PROFILE,EMPLOYMENT HISTORY,EDUCATION,RELEVANT COURSEWORK,COURSES,ACHIEVEMENTS
SEAN,DETAILS,ADDRESS,PHONE,EMAIL,PLACE OF BIRTH,LINKS,HOBBIES,LANGUAGES,FrenchPROFILE,EMPLOYMENT HISTORY,EDUCATION,"•Relevant Coursework: Network Security, IT Project Management, ",COURSES,ACHIEVEMENTS
PRICE,,1515 Pacific Ave,3868683442,email@email,San Antonio,LinkedIn,"Angling, Sailing, Fly Fishing",English,Personable IT Consultant with 5+ years of experience in a global ,"IT Consultant , Amazon Jacksonville",Bachelor of Science in Information Systems ,"Business Administration, Strategy & Operations, IT Innovation, ","Microsoft Certified Solutions Expert, ",•Identified a new parts-ordering solution which led to a reduced 
IT Consultant,,"Los Angeles, CA 90291",,com,DRIVING LICENSE,Pinterest,,,technology firm,Jan 2020 — Jun 2021,"Management, Miami UniversityMiami Beach","Ethical Hacking, Database Management",Microsoft,client wait time of 19% and an increase in client satisfaction by 41%
,,United States,,,Full,Resume Templates,,, CompTIA A+ Certification,Administered first-level MHE and PKMS support and under-provided ,Jan 2020 — Jun 2021,, Online,"•Assisted the IT director with administration applications, reducing "
,,,,,,Build this template,,, Scored the region leading ,SOPs to make appropriate corrections when necessary,,,,the workload by 22%
,,,,,,,,,QST rating based on internal reviews (97,,,,Jan 2020 — Jun 2021,•Identified ticketing management solutions which led to a queue 
,,,,,,,,,86%),•Researched and documented existing and new processes for IT ,,,"CCNA Routing and Switching, Cisco",reduction of 21%
,,,,,,,,, I am seeking to leverage ,Support Teams and interacted with business users and other IT ,,, Online,"•Assisted the IT manager as liaison to clients on software updates, "
,,,,,,,,,solid technical skills and abilities to advance my career as the next IT ,groups to ascertain business requirements and design proposed ,,, ,reducing workload by over 52%
,,,,,,,,,consultant for Linsang Group,system enhancements,,,Jan 2019 — Aug 2019,
,,,,,,,,,,,,,,
,,,,,,,,,,"•Communicated issues, resolutions, and the project status to IT ",,,,
,,,,,,,,,,management and user community and ensured the deadlines ,,,,
,,,,,,,,,,were met and quality was maximized,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,"•Deployed, reset, configured, and replaced equipment as needed, ",,,,
,,,,,,,,,,"such as CLI Terminals, Printers, Silex Printer boxes",,,,
,,,,,,,,,,", CPUs and ",,,,
,,,,,,,,,,laptops,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,•Coached newly hired IT specialists on advanced technical ,,,,
,,,,,,,,,,procedures,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,"IT Consultant, PWC Pengcheng",,,,
,,,,,,,,,,Jan 2019 — Dec 2021,,,,
,,,,,,,,,,"Independent, a non-profit organization that provides a broad array ",,,,
,,,,,,,,,,"of assessment, research, information, and program management ",,,,
,,,,,,,,,,solutions in the education and workforce development areas,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,•Identified software and hardware issues and listened to client ,,,,
,,,,,,,,,,concerns,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,•Encouraged timely and relevant upgrades for client products ,,,,
,,,,,,,,,,when necessary,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,•Devised a workable scheme to accomplish business objectives,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,"•Scheduled and allocated project activities, identified tools, ",,,,
,,,,,,,,,,"standards, and guidelines suitable for projects",,,,
,,,,,,,,,,,,,,
,,,,,,,,,,•Provided risk management by monitoring project schedules,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,•Reported on a project’s status regularly through emails and weekly ,,,,
,,,,,,,,,,meetings; formally tracked problems and issues to closure,,,,
,,,,,,,,,,,,,,
